Appl_Type,Appl_No,Product_No,Patent_No,Patent_Expire_Date_Text,Drug_Substance_Flag,Drug_Product_Flag,Patent_Use_Code,Delist_Flag,Submission_Date
N,209806,3,9439902,"Oct 21, 2030",,,U-2214,,"Jan 16, 2018"
N,206038,2,9150552,"Dec 4, 2028",,,U-1908,,"Oct 21, 2016"
N,206940,2,8772325,"Mar 14, 2025",,,U-1709,,"Feb 16, 2017"
N,203312,3,9901640,"Dec 26, 2028",,Y,U-219,,"Feb 28, 2018"
N,203312,4,9901640,"Dec 26, 2028",,Y,U-219,,"Feb 28, 2018"
N,203496,3,9393203,"Apr 27, 2026",,Y,U-1877,,"Jul 22, 2016"
N,203496,4,9393203,"Apr 27, 2026",,Y,U-1877,,"Jul 22, 2016"
N,203469,1,9493470,"Dec 12, 2033",Y,Y,U-1948,,"Nov 29, 2016"
N,21902,1,9770406,"Jul 12, 2025",,Y,U-172,,"Oct 19, 2017"
N,208399,1,7049320,"Aug 19, 2028",Y,Y,U-1741,,"Nov 16, 2017"
N,201635,1,9622983,"Nov 16, 2027",,Y,U-1675,,"Apr 20, 2017"
N,200603,5,9815827,"Feb 20, 2024",,,U-543,,"Dec 12, 2017"
N,207202,2,8847766,"Mar 29, 2030",,Y,U-2167,,"Dec 12, 2017"
N,20866,1,9700555,"Apr 30, 2032",,Y,U-2196,,"Dec 18, 2017"
N,205422,1,9839637,"Apr 12, 2026",,Y,U-543,,"Jan 9, 2018"
N,205437,1,9872854,"May 29, 2034",,,U-2233,,"Feb 21, 2018"
N,21398,1,9907802,"Apr 19, 2022",,Y,U-2240,,"Mar 7, 2018"
N,210563,1,8703780,"Dec 28, 2026",,,U-2242,,"Mar 6, 2018"
N,210563,1,8999999,"Jun 3, 2031",,,U-1946,,"Mar 6, 2018"
N,210563,1,8952015,"Dec 28, 2026",,,U-1946,,"Mar 6, 2018"
N,210563,1,8563563,"Apr 26, 2027",,,U-1491,,"Mar 6, 2018"
N,210563,2,8952015,"Dec 28, 2026",,,U-1947,,"Mar 6, 2018"
N,210563,2,8563563,"Apr 26, 2027",,,U-1946,,"Mar 6, 2018"
N,210563,3,8952015,"Dec 28, 2026",,,U-1456,,"Mar 6, 2018"
N,210563,4,8999999,"Jun 3, 2031",,,U-2242,,"Mar 6, 2018"
N,210563,4,8563563,"Apr 26, 2027",,,U-2242,,"Mar 6, 2018"
N,22036,2,9861607,"May 18, 2027",,,U-620,,"Jan 24, 2018"
N,203505,1,9855224,"Feb 13, 2024",,,U-1370,,"Jan 23, 2018"
N,209360,2,9572856,"Nov 20, 2030",,,U-2221,,"Jan 22, 2018"
